,doc_id,sentence
0,0,with an apple macintosh
1,0,you can't run radio shack programs
2,0,"in its disc drive,"
3,0,nor can a commodore 64
4,0,drive read a file
5,0,you have created on an
6,0,"ibm personal computer,"
7,0,both kaypro and osborne computers use
8,0,the cp/m operating system
9,0,but can't read each other's
10,0,handwriting
11,0,for they format write
12,0,on discs in different
13,0,"ways,"
14,0,the tandy 2000 runs ms-dos but
15,0,can't use most programs produced for
16,0,the ibm personal computer
17,0,unless certain
18,0,bits and bytes are
19,0,altered
20,0,but the wind still blows over
21,0,savannah
22,0,and in the spring
23,0,the turkey buzzard struts and
24,0,flounces before his
25,0,"hens,"
26,1,"at the track today,"
27,1,"father's day,"
28,1,each paid admission was
29,1,entitled to a wallet
30,1,and each contained a
31,1,"little surprise,"
32,1,most of the men seemed
33,1,"between 30 and 55,"
34,1,"going to fat,"
35,1,many of them in walking
36,1,"shorts,"
37,1,they had gone stale in
38,1,"life,"
39,1,"flattened out,,"
40,1,"in fact, damn it, they"
41,1,aren't even worth writing
42,1,about!
43,1,why am i doing
44,1,this?
45,1,these don't even
46,1,"deserve a death bed,"
47,1,these little walking
48,1,"whales,"
49,1,only there are so
50,1,many of
51,1,"them,"
52,1,"in the urinals,"
53,1,"in the food lines,"
54,1,they have managed to
55,1,survive
56,1,in a most limited
57,1,sense
58,1,but when you see
59,1,so many of them
60,1,"like that,"
61,1,"there and not there,"
62,1,"breathing, farting,"
63,1,"commenting,"
64,1,waiting for a thunder
65,1,"that will not arrive,"
66,1,waiting for the charging
67,1,white horse of
68,1,"glory,"
69,1,waiting for the lovely
70,1,female that is not
71,1,"there,"
72,1,"waiting to win,"
73,1,waiting for the great
74,1,dream to
75,1,engulf them
76,1,"but they do nothing,"
77,1,they clomp in their
78,1,"sandals,"
79,1,gnaw at hot dogs
80,1,"dog style,"
81,1,gulping at the
82,1,"meat,"
83,1,they complain about
84,1,"losing,"
85,1,"blame the jocks,"
86,1,drink green
87,1,"beer,"
88,1,the parking lot is
89,1,jammed with their
90,1,unpaid for
91,1,"cars,"
92,1,the jocks mount
93,1,again for another
94,1,"race,"
95,1,the men press
96,1,toward the betting
97,1,windows
98,1,"mesmerized,"
99,1,fathers and non-fathers
100,1,monday is waiting
101,1,"for them,"
102,1,this is the last
103,1,"big lark,"
104,1,and the horses are
105,1,totally
106,1,"beautiful,"
107,1,it is shocking how
108,1,beautiful they
109,1,are
110,1,"at that time,"
111,1,"at that place,"
112,1,their life shines
113,1,through;
114,1,"miracles happen,"
115,1,even in
116,1,"hell,"
117,1,i decide to stay for
118,1,one more
119,1,"race,"
120,1,
121,1,"from transit magazine, 1994"
122,2,from my bed
123,2,i watch
124,2,3 birds
125,2,on a telephone
126,2,"wire,"
127,2,one flies
128,2,"off,"
129,2,then
130,2,"another,"
131,2,"one is left,"
132,2,then
133,2,it too
134,2,"is gone,"
135,2,my typewriter is
136,2,tombstone
137,2,"still,"
138,2,and i am
139,2,reduced to bird
140,2,"watching,"
141,2,just thought i'd
142,2,let you
143,2,"know,"
144,2,"fucker,"
145,3,shot in the eye
146,3,shot in the brain
147,3,shot in the ass
148,3,shot like a flower in the dance
149,3,
150,3,amazing how death wins hands down
151,3,amazing how much credence is given to idiot forms of life
152,3,
153,3,amazing how laughter has been drowned out
154,3,amazing how viciousness is such a constant
155,3,
156,3,i must soon declare my own war on their war
157,3,i must hold to my last piece of ground
158,3,i must protect the small space i have made that has allowed me life
159,3,
160,3,my life not their death
161,3,"my death not their death,"
162,4,"the phone rang at 1,30 a,m,"
163,4," and it was a man from denver,"
164,4,
165,4,"  chinaski, you got a following in"
166,4," denver,"
167,4,   yeah?
168,4,"  yeah, i got a magazine and i want some"
169,4," poems from you,"
170,4,"   fuck you, chinaski! i heard a voice"
171,4," in the background,"
172,4,"  i see you have a friend,"
173,4," i said,"
174,4,"  yeah, he answered, now, i want"
175,4," six poems,"
176,4,   chinaski sucks! chinaski's a prick!
177,4, i heard the other
178,4," voice,"
179,4,   you fellows been drinking?
180,4," i asked,"
181,4,"   so what? he answered, you drink,"
182,4,"   that's true,"
183,4,  chinaski's an asshole!
184,4,   then
185,4, the editor of the magazine gave me the
186,4, address and i copied it down on the back
187,4," of an envelope,"
188,4,"   send us some poems now,"
189,4,"   i'll see what i can do,"
190,4,  chinaski writes shit!
191,4,"  goodbye, i said,"
192,4,"  goodbye, said the"
193,4," editor,"
194,4,"   i hung up,"
195,4,   there are certainly any number of lonely
196,4, people without much to do with
197,4," their nights,"
198,5,"george was lying in his trailer, flat on his back, watching a small portable t,v, his"
199,5,"dinner dishes were undone, his breakfast dishes were undone, he needed a shave, and ash"
200,5,"from his rolled cigarettes dropped onto his undershirt, some of the ash was still burning,"
201,5,"sometimes the burning ash missed the undershirt and hit his skin, then he cursed, brushing"
202,5,"it away, there was a knock on the trailer door, he got slowly to his feet and answered the"
203,5,"door, it was constance, she had a fifth of unopened whiskey in a bag,"
204,5,"george, i left that son of a bitch, i couldn't stand that son of a bitch"
205,5,"anymore,"
206,5,"sit down,"
207,5,"george opened the fifth, got two glasses, filled each a third with whiskey, two thirds"
208,5,"with water, he sat down on the bed with constance, she took a cigarette out of her purse"
209,5,"and lit it, she was drunk and her hands trembled,"
210,5,"i took his damn money too, i took his damn money and split while he was at work,"
211,5,"you don't know how i've suffered with that son of a bitch, "
212,5,"lemme have a smoke, said george, she handed it to him and as she leaned near,"
213,5,"george put his arm around her, pulled her over and kissed her,"
214,5,"you son of a bitch, she said, i missed you,"
215,5,"i miss those good legs of yours , connie, i've really missed those good"
216,5,"legs,"
217,5,you still like 'em?
218,5,"i get hot just looking,"
219,5,"i could never make it with a college guy, said connie, they're too"
220,5,"soft, they're milk toast, and he kept his house clean, george , it was like having a maid,"
221,5,"he did it all, the place was spotless, you could eat beef stew right off the crapper, he"
222,5,"was antiseptic, that's what he was,"
223,5,"drink up, you'll feel better,"
224,5,"and he couldn't make love,"
225,5,you mean he couldn't get it up?
226,5,"oh he got it up, he got it up all the time, but he didn't know how to make a"
227,5,"woman happy, you know, he didn't know what to do, all that money, all that education, he"
228,5,"was useless,"
229,5,"i wish i had a college education,"
230,5,"you don't need one, you have everything you need, george,"
231,5,"i'm just a flunky, all the shit jobs,"
232,5,"i said you have everything you need, george, you know how to make a woman"
233,5,"happy,"
234,5,yeh?
235,5,"yes, and you know what else? his mother came around! his mother! two or three"
236,5,"times a week, and she'd sit there looking at me, pretending to like me but all the time"
237,5,"she was treating me like i was a whore, like i was a big bad whore stealing her son away"
238,5,"from her! her precious wallace! christ! what a mess! he claimed he loved me,"
239,5,"and i'd say, 'look at my pussy, walter!' and he wouldn't look at my pussy, he said, 'i"
240,5,"don't want to look at that thing,' that thing! that's what he called it! you're not afraid"
241,5,"of my pussy, are you, george?"
242,5,"it's never bit me yet, but you've bit it, you've nibbled it, haven't"
243,5,you george?
244,5,"i suppose i have,"
245,5,"and you've licked it , sucked it?"
246,5,"i suppose so,"
247,5,"you know damn well, george, what you've done,"
248,5,how much money did you get?
249,5,"six hundred dollars,"
250,5,"i don't like people who rob other people, connie,"
251,5,"that's why you're a fucking dishwasher, you're honest, but he's such an ass,"
252,5,"george, and he can afford the money, and i've earned it, him and his mother and his"
253,5,"love, his mother-love, his clean l;little wash bowls and toilets and disposal bags and"
254,5,breath chasers and after shave lotions and his little hard-ons and his precious
255,5,"lovemaking, all for himself, you understand, all for himself! you know what a woman"
256,5,"wants, george,"
257,5,"thanks for the whiskey, connie, lemme have another cigarette,"
258,5,"george filled them up again, i missed your legs, connie, i've really missed those"
259,5,"legs, i like the way you wear those high heels, they drive me crazy, these modern women"
260,5,"don't know what they're missing, the high heel shapes the calf, the thigh, the ass; it"
261,5,"puts rhythm into the walk, it really turns me on!"
262,5,"you talk like a poet, george, sometimes you talk like that, you are one hell of a"
263,5,"dishwasher,"
264,5,you know what i'd really like to do?
265,5,what?
266,5,"i'd like to whip you with my belt on the legs, the ass, the thighs, i'd like to"
267,5,make you quiver and cry and then when you're quivering and crying i'd slam it into you
268,5,"pure love,"
269,5,"i don't want that, george, you've never talked like that to me before, you've"
270,5,"always done right with me,"
271,5,"pull your dress up higher,"
272,5,what?
273,5,"pull your dress up higher, i want to see more of your legs,"
274,5,"you like my legs, don't you, george?"
275,5,let the light shine on them!
276,5,"constance hiked her dress,"
277,5,"god christ shit, said george,"
278,5,you like my legs?
279,5,i love your legs! then george reached across the bed and slapped constance
280,5,"hard across the face, her cigarette flipped out of her mouth,"
281,5,what'd you do that for?
282,5,you fucked walter! you fucked walter!
283,5,so what the hell?
284,5,so pull your dress up higher!
285,5,no!
286,5,"do what i say! george slapped again, harder, constance hiked her skirt,"
287,5,"just up to the panties! shouted george, i don't quite want to see the"
288,5,panties!
289,5,"christ, george, what's gone wrong with you?"
290,5,you fucked walter!
291,5,"george, i swear, you've gone crazy, i want to leave, let me out of here,"
292,5,george!
293,5,don't move or i'll kill you!
294,5,you'd kill me?
295,5,"i swear it! george got up and poured himself a shot of straight whiskey,"
296,5,"drank it, and sat down next to constance, he took the cigarette and held it against her"
297,5,"wrist, she screamed, he held it there, firmly, then pulled it away,"
298,5,"i'm a man , baby, understand that?"
299,5,"i know you're a man , george,"
